# Decoder paths each file actually reaches.
#
# Regenerate with ./make_coverage.sh, which applies src/probes.py to a
# throwaway worktree. Every probe sits on the line a README note
# refers to, so this is the evidence behind those notes: a file can
# reject for the wrong reason, and several did before being fixed.
#
# libwebp revision: 0be8ddd1

alph-raw-filter-horizontal               coeff_cat4 coeff_v3_4 coeff_v5_6 mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 
alph-raw-filter-none                     coeff_cat4 coeff_v3_4 coeff_v5_6 mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 
alph-raw-filter-vertical                 coeff_cat4 coeff_v3_4 coeff_v5_6 mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 
alph-raw-oversized                       coeff_cat4 coeff_v3_4 coeff_v5_6 mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 
alph-raw-preprocessing                   coeff_cat4 coeff_v3_4 coeff_v5_6 mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 
alph-raw-short                           coeff_cat4 coeff_v3_4 coeff_v5_6 error:Alpha-decoder-initialization-failed. mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 
alph-reserved-set                        coeff_cat4 coeff_v3_4 coeff_v5_6 error:Alpha-decoder-initialization-failed. mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 
alph-without-vp8x-flag                   coeff_cat4 coeff_v3_4 coeff_v5_6 mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 
anim-alph-after-image                    anim_blend_nonpremult demux_alph_after_image demux_frame_added demux_frame_alph 
anim-alpha-flag-missing                  alpha_is_used anim_blend_nonpremult anim_blend_whole_rows anim_inter_frame anim_key_first_frame anim_key_frame anim_key_from_prev_dispose build_single_value demux_bounds_inexact demux_frame_added literal_trivial_code simple_1sym 
anim-alpha-lossless-frame                alpha_8b_data alpha_8b_no_blocks anim_blend_nonpremult anim_key_first_frame anim_key_frame build_single_value coeff_cat4 complex_code demux_bounds_inexact demux_frame_added demux_frame_alph mb_i16 palette_3 palette_black_tail parts_1 simple_1sym subimage_stream tf_color_indexing uvmode_0 wht_dc_only wht_empty ymode_0 
anim-alpha-raw-frame                     anim_blend_nonpremult anim_key_first_frame anim_key_frame anim_key_opaque_full_frame build_single_value coeff_cat4 demux_bounds_inexact demux_frame_added demux_frame_alph literal_trivial_code mb_i16 parts_1 simple_1sym uvmode_0 wht_dc_only wht_empty ymode_0 
anim-anim-chunk-padded                   anim_blend_nonpremult anim_key_first_frame anim_key_frame build_single_value demux_anim_padded demux_bounds_inexact demux_frame_added literal_trivial_code simple_1sym 
anim-anim-chunk-short                    anim_blend_nonpremult demux_anim_too_small 
anim-anmf-header-truncated               anim_blend_nonpremult demux_frame_too_small 
anim-anmf-odd-size                       anim_blend_nonpremult demux_frame_added 
anim-anmf-size-past-end                  anim_blend_nonpremult 
anim-anmf-size-short                     anim_blend_nonpremult demux_frame_overran_payload 
anim-background-color                    anim_blend_nonpremult anim_key_first_frame anim_key_frame build_single_value demux_bounds_inexact demux_frame_added literal_trivial_code simple_1sym 
anim-blend-none                          alpha_is_used anim_blend_nonpremult anim_key_first_frame anim_key_frame anim_key_opaque_full_frame build_single_value demux_bounds_inexact demux_frame_added literal_trivial_code simple_1sym 
anim-blend-over                          alpha_is_used anim_blend_nonpremult anim_blend_whole_rows anim_inter_frame anim_key_first_frame anim_key_frame anim_key_from_prev_dispose build_single_value demux_bounds_inexact demux_frame_added literal_trivial_code simple_1sym 
anim-blend-ranges                        alpha_is_used anim_blend_around_prev anim_blend_nonpremult anim_blend_whole_rows anim_dispose_background anim_inter_frame anim_key_first_frame anim_key_frame anim_key_from_prev_dispose anim_range_disjoint anim_range_left anim_range_right build_single_value demux_bounds_inexact demux_frame_added literal_trivial_code simple_1sym 
anim-canvas-larger-than-frames           anim_blend_nonpremult anim_blend_whole_rows anim_inter_frame anim_key_first_frame anim_key_frame anim_key_from_prev_dispose build_single_value demux_bounds_inexact demux_frame_added literal_trivial_code simple_1sym 
anim-dispose-background                  alpha_is_used anim_blend_nonpremult anim_blend_whole_rows anim_dispose_background anim_inter_frame anim_key_first_frame anim_key_frame anim_key_from_prev_dispose anim_key_opaque_full_frame build_single_value demux_bounds_inexact demux_frame_added literal_trivial_code simple_1sym 
anim-dispose-blend-matrix                alpha_is_used anim_blend_nonpremult anim_blend_whole_rows anim_dispose_background anim_inter_frame anim_key_first_frame anim_key_frame anim_key_from_prev_dispose build_single_value demux_bounds_inexact demux_frame_added literal_trivial_code simple_1sym 
anim-duplicate-anim                      anim_blend_nonpremult anim_key_first_frame anim_key_frame anim_key_opaque_full_frame build_single_value demux_anim_duplicate demux_bounds_inexact demux_chunk_flagless demux_frame_added literal_trivial_code simple_1sym 
anim-duration-extremes                   anim_blend_nonpremult anim_key_first_frame anim_key_frame anim_key_opaque_full_frame build_single_value demux_bounds_inexact demux_frame_added literal_trivial_code simple_1sym 
anim-eight-frames                        anim_blend_nonpremult anim_key_first_frame anim_key_frame anim_key_opaque_full_frame build_single_value demux_bounds_inexact demux_frame_added literal_trivial_code simple_1sym 
anim-empty-frame-alone                   anim_blend_nonpremult demux_frame_dropped 
anim-empty-frame                         anim_blend_nonpremult anim_key_first_frame anim_key_frame build_single_value demux_bounds_inexact demux_frame_added demux_frame_dropped literal_trivial_code simple_1sym 
anim-frame-1x1                           anim_blend_nonpremult anim_blend_whole_rows anim_dispose_background anim_inter_frame anim_key_first_frame anim_key_frame anim_key_from_prev_dispose build_single_value demux_bounds_inexact demux_frame_added literal_trivial_code simple_1sym 
anim-frame-alpha-only                    anim_blend_nonpremult demux_frame_added demux_frame_alph 
anim-frame-area-overflow                 anim_blend_nonpremult demux_frame_area_overflow 
anim-frame-image-past-canvas             anim_blend_nonpremult demux_bounds_inexact demux_frame_added demux_frame_past_canvas 
anim-frame-offsets                       alpha_is_used anim_blend_nonpremult anim_blend_whole_rows anim_inter_frame anim_key_first_frame anim_key_frame anim_key_from_prev_dispose build_single_value demux_bounds_inexact demux_frame_added literal_trivial_code simple_1sym 
anim-frame-past-canvas                   anim_blend_nonpremult demux_bounds_inexact demux_frame_added demux_frame_past_canvas 
anim-frame-reserved-bits                 anim_blend_nonpremult anim_key_first_frame anim_key_frame build_single_value demux_bounds_inexact demux_frame_added literal_trivial_code simple_1sym 
anim-frame-size-mismatch                 anim_blend_nonpremult anim_key_first_frame anim_key_frame build_single_value demux_bounds_inexact demux_frame_added literal_trivial_code simple_1sym 
anim-frames-without-flag                 anim_blend_nonpremult demux_no_frames 
anim-image-chunk-beside-frames           anim_blend_nonpremult demux_frame_added demux_frame_chunk_done demux_image_in_animation 
anim-loop-count-max                      anim_blend_nonpremult anim_key_first_frame anim_key_frame anim_key_opaque_full_frame build_single_value demux_bounds_inexact demux_frame_added literal_trivial_code simple_1sym 
anim-lossy-frames                        anim_blend_nonpremult anim_key_first_frame anim_key_frame anim_key_opaque_full_frame coeff_cat3 coeff_cat4 demux_bounds_inexact demux_frame_added mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 ymode_2 
anim-metadata-chunks                     anim_blend_nonpremult anim_key_first_frame anim_key_frame anim_key_opaque_full_frame build_single_value demux_bounds_inexact demux_frame_added literal_trivial_code simple_1sym 
anim-metadata-without-flags              anim_blend_nonpremult anim_key_first_frame anim_key_frame build_single_value demux_bounds_inexact demux_chunk_flagless demux_frame_added literal_trivial_code simple_1sym 
anim-mixed-formats                       anim_blend_nonpremult anim_key_first_frame anim_key_frame anim_key_opaque_full_frame build_single_value coeff_cat4 demux_bounds_inexact demux_frame_added literal_trivial_code mb_i16 parts_1 simple_1sym uvmode_0 wht_dc_only wht_empty ymode_0 
anim-nested-anmf                         anim_blend_nonpremult demux_frame_dropped 
anim-no-anim-chunk                       anim_blend_nonpremult demux_frame_before_anim 
anim-no-vp8x                             info:bad-signature reject_signature_magic 
