# Decoder paths each file actually reaches.
#
# Regenerate with ./make_coverage.sh, which applies probes.py to a
# throwaway worktree. Every probe sits on the line a README note
# refers to, so this is the evidence behind those notes: a file can
# reject for the wrong reason, and several did before being fixed.
#
# libwebp revision: 0be8ddd1

container-vp8x-reserved-bits             coeff_cat3 coeff_cat4 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 ymode_2 
container-vp8x-still-flags               coeff_cat3 coeff_cat4 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 ymode_2 
container-vp8x-wrong-size                
container-vp8x                           coeff_cat3 coeff_cat4 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 ymode_2 
container-zero-size-chunk                coeff_cat3 coeff_cat4 coeff_v2 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only wht_empty ymode_0 ymode_2 
header-max-area-bomb                     build_single_value header_huge_area header_width_16384 simple_1sym 
header-max-area-truncated                build_empty_code complex_code header_huge_area header_width_16384 num_codes_min 
header-version-nonzero                   reject_signature_version 
header-width-16384                       build_single_value header_width_16384 simple_1sym 
lossy-1-partitions                       bmode_0 bmode_1 bmode_2 bmode_3 bmode_4 bmode_5 bmode_6 bmode_7 bmode_8 bmode_9 coeff_cat3 coeff_cat4 coeff_cat6 coeff_v2 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i16 mb_i4x4 parts_1 proba_update proba_zero quant_delta quant_segment_absolute segment_id_0 segment_id_1 segment_id_2 segment_id_3 uvmode_0 uvmode_2 uvmode_3 wht_dc_only wht_full ymode_0 ymode_1 ymode_2 ymode_3 
lossy-2-partitions                       bmode_0 bmode_1 bmode_2 bmode_3 bmode_4 bmode_5 bmode_6 bmode_7 bmode_8 bmode_9 coeff_cat3 coeff_cat4 coeff_cat6 coeff_v2 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i16 mb_i4x4 parts_2 proba_update proba_zero quant_delta quant_segment_absolute segment_id_0 segment_id_1 segment_id_2 segment_id_3 uvmode_0 uvmode_2 uvmode_3 wht_dc_only wht_full ymode_0 ymode_1 ymode_2 ymode_3 
lossy-4-partitions                       bmode_0 bmode_1 bmode_2 bmode_3 bmode_4 bmode_5 bmode_6 bmode_7 bmode_8 bmode_9 coeff_cat3 coeff_cat4 coeff_cat6 coeff_v2 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i16 mb_i4x4 parts_4 proba_update proba_zero quant_delta quant_segment_absolute segment_id_0 segment_id_1 segment_id_2 segment_id_3 uvmode_0 uvmode_2 uvmode_3 wht_dc_only wht_full ymode_0 ymode_1 ymode_2 ymode_3 
lossy-8-partitions-size-overflow         error:cannot-parse-partitions parts_8 parts_no_data_left parts_psize_clamped parts_psize_zero 
lossy-8-partitions-sizes-sum-past-end    error:cannot-parse-partitions parts_8 parts_no_data_left parts_psize_clamped parts_psize_zero 
lossy-8-partitions-zero-sizes            bmode_0 bmode_1 bmode_3 bmode_4 bmode_6 bmode_8 bmode_9 error:Premature-end-of-file-encountered. mb_i16 mb_i4x4 parts_8 parts_psize_zero proba_update proba_zero quant_delta quant_segment_absolute segment_id_2 segment_id_3 uvmode_0 uvmode_3 wht_empty ymode_0 ymode_1 
lossy-8-partitions                       bmode_0 bmode_1 bmode_2 bmode_3 bmode_4 bmode_5 bmode_6 bmode_7 bmode_8 bmode_9 coeff_cat3 coeff_cat4 coeff_cat6 coeff_v2 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i16 mb_i4x4 parts_8 proba_update proba_zero quant_delta quant_segment_absolute segment_id_0 segment_id_1 segment_id_2 segment_id_3 uvmode_0 uvmode_2 uvmode_3 wht_dc_only wht_full ymode_0 ymode_1 ymode_2 ymode_3 
lossy-coeff-all-types                    bmode_0 bmode_1 bmode_2 bmode_3 bmode_4 bmode_5 bmode_6 bmode_7 bmode_8 bmode_9 coeff_v2 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i16 mb_i4x4 parts_1 uvmode_0 uvmode_1 wht_full ymode_0 
lossy-coeff-bands-chroma                 coeff_cat3 coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_dc_only ymode_0 
lossy-coeff-bands-i16                    coeff_v3_4 mb_i16 parts_1 uvmode_0 wht_full ymode_0 
lossy-coeff-bands-i4                     bmode_0 coeff_v3_4 mb_i4x4 parts_1 uvmode_0 
lossy-coeff-cat3                         bmode_0 coeff_cat3 mb_i4x4 parts_1 quant_min quant_y2_ac_floor uvmode_0 
lossy-coeff-cat4                         bmode_0 coeff_cat4 mb_i4x4 parts_1 quant_min quant_y2_ac_floor uvmode_0 
lossy-coeff-cat5                         bmode_0 coeff_cat5 mb_i4x4 parts_1 quant_min quant_y2_ac_floor uvmode_0 
lossy-coeff-cat6-max                     bmode_0 coeff_cat6 coeff_max mb_i4x4 parts_1 quant_min quant_y2_ac_floor uvmode_0 
lossy-coeff-cat6                         bmode_0 coeff_cat6 mb_i4x4 parts_1 quant_min quant_y2_ac_floor uvmode_0 
lossy-coeff-context                      bmode_0 coeff_v3_4 mb_i4x4 parts_1 uvmode_0 
lossy-coeff-empty-blocks                 mb_i16 parts_1 uvmode_0 wht_empty ymode_0 
lossy-coeff-full-block                   bmode_0 coeff_cat3 coeff_v2 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i4x4 parts_1 quant_min quant_y2_ac_floor uvmode_0 
lossy-coeff-medium-magnitudes            bmode_0 coeff_v5_6 coeff_v7_10 mb_i4x4 parts_1 quant_min quant_y2_ac_floor uvmode_0 
lossy-coeff-small-magnitudes             bmode_0 coeff_v2 coeff_v3_4 mb_i4x4 parts_1 quant_min quant_y2_ac_floor uvmode_0 
lossy-coeff-wht-full                     coeff_cat3 coeff_cat4 coeff_v2 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i16 parts_1 uvmode_0 wht_dc_only wht_full ymode_0 
lossy-coeff-zero-runs                    bmode_0 coeff_v2 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i4x4 parts_1 quant_min quant_y2_ac_floor uvmode_0 
lossy-combo-all-features                 bmode_0 bmode_1 bmode_2 bmode_3 bmode_4 bmode_5 bmode_6 bmode_7 bmode_8 bmode_9 coeff_cat3 coeff_cat4 coeff_v2 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i16 mb_i4x4 mb_skip_flag mb_skipped parts_4 proba_update quant_segment_absolute segment_id_0 segment_id_1 segment_id_2 segment_id_3 skip_proba uvmode_0 uvmode_1 uvmode_3 wht_dc_only wht_empty wht_full ymode_0 ymode_1 ymode_2 
lossy-filter-lf-delta-extremes           bmode_0 bmode_1 bmode_2 bmode_3 bmode_4 bmode_5 bmode_6 bmode_7 bmode_8 bmode_9 coeff_cat3 coeff_cat4 coeff_v2 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i16 mb_i4x4 parts_1 uvmode_0 wht_dc_only ymode_0 ymode_2 
lossy-filter-lf-delta                    bmode_0 bmode_1 bmode_2 bmode_3 bmode_4 bmode_5 bmode_6 bmode_7 bmode_8 bmode_9 coeff_cat3 coeff_cat4 coeff_v2 coeff_v3_4 coeff_v5_6 coeff_v7_10 mb_i16 mb_i4x4 parts_1 uvmode_0 uvmode_1 uvmode_2 wht_dc_only ymode_0 ymode_2 
